# Chunk-averaged data for fix chunk and group B
# Timestep Number-of-chunks Total-count
# Chunk OrigID Coord1 Ncount c_ke1 temp c_stress4[1] c_displace1[1] c_disp c_stress5[1]
100100 173 3444
  104 107 216.806 12 0.000189313 1.46459 19858.6 0.00590696 14.1915 19858.6
  105 108 218.806 24 0.000128733 0.995923 17894.9 0.00575825 13.1251 17894.9
  106 109 220.806 24 2.81551e-05 0.217817 15151.1 0.00595738 13.1255 15151.1
  107 110 222.806 12 6.12481e-06 0.0473836 12916 0.00612044 12.0592 12916
  108 111 224.806 24 8.05108e-05 0.622859 10410.6 0.00606185 13.1261 10410.6
  109 112 226.806 24 0.000260807 2.01769 6730.85 0.00559023 13.1266 6730.85
  110 113 228.806 12 0.000382378 2.95821 3757.78 0.00497386 14.1935 3757.78
  111 114 230.806 24 0.000410335 3.17449 602.772 0.00421612 13.1271 602.772
  112 115 232.806 24 0.000306171 2.36864 -3871.19 0.00328103 13.1275 -3871.19
  113 116 234.806 12 0.000170777 1.32119 -7453.43 0.00283311 12.0612 -7453.43
  114 117 236.806 24 6.03299e-05 0.466733 -11219.9 0.00276821 13.1281 -11219.9
  115 118 238.806 24 3.59713e-06 0.0278286 -16377.3 0.0030789 13.1285 -16377.3
  116 119 240.806 12 2.12813e-05 0.164639 -20262.4 0.00336758 14.1955 -20262.4
  117 120 242.806 24 5.74646e-05 0.444566 -24188.4 0.00331071 13.1291 -24188.4
  118 121 244.806 24 8.18783e-05 0.633438 -29566.6 0.00244599 13.1296 -29566.6
  119 122 246.806 12 7.6986e-05 0.59559 -33760.3 0.00133159 12.0632 -33760.3
  120 123 248.806 24 6.18031e-05 0.47813 -38076.9 0.000134428 13.1302 -38076.9
  121 124 250.806 24 4.48489e-05 0.346966 -43660.5 -0.00124311 13.1306 -43660.5
  122 125 252.806 12 4.07807e-05 0.315493 -47460.9 -0.00211711 14.1976 -47460.9
